epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.3024,0.8778,0.5133,0.8635
2,0.0926,0.9603,0.5826,0.8
3,0.0941,0.9667,0.3581,0.9048
4,0.0595,0.9794,0.4956,0.8667
5,0.044,0.981,0.5837,0.8349
6,0.0663,0.9762,0.6731,0.819
7,0.0411,0.9841,0.5894,0.8571
8,0.0141,0.9952,0.5534,0.8698
9,0.0382,0.9857,0.642,0.8603
10,0.0141,0.9968,0.5193,0.8857
