epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.3151,0.8873,0.4003,0.8317
2,0.0934,0.9714,0.2086,0.9397
3,0.0738,0.9698,0.4273,0.8603
4,0.0675,0.973,0.1826,0.946
5,0.0463,0.9794,0.271,0.927
6,0.037,0.9873,0.5965,0.8317
7,0.0206,0.9952,0.2463,0.9365
8,0.016,0.9952,0.2688,0.9397
9,0.0151,0.9968,0.4803,0.8825
10,0.0093,0.9968,0.7491,0.8286
