epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.3179,0.873,0.3434,0.8286
2,0.1162,0.9524,0.3147,0.8603
3,0.0678,0.973,0.3142,0.8635
4,0.0551,0.9746,0.2404,0.9016
5,0.0516,0.9825,0.3921,0.8825
6,0.0147,0.9968,0.2974,0.8794
7,0.0341,0.9905,0.3153,0.8667
8,0.0184,0.9921,0.4598,0.8349
9,0.0177,0.9937,0.4982,0.8603
10,0.0222,0.9937,0.2668,0.9143
