epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.3127,0.8841,0.1874,0.9175
2,0.1278,0.9476,0.1212,0.9619
3,0.0633,0.9746,0.1413,0.9397
4,0.0664,0.9746,0.1566,0.9524
5,0.0316,0.9841,0.1586,0.9397
6,0.0205,0.9968,0.1389,0.9524
7,0.0069,1,0.1162,0.9683
8,0.0077,0.9984,0.3919,0.8825
9,0.0365,0.9889,0.1206,0.9556
10,0.0144,0.9952,0.1664,0.9365
