epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.3258,0.8698,0.2764,0.8762
2,0.13,0.9492,0.1225,0.9556
3,0.0971,0.9667,0.1133,0.9556
4,0.0663,0.973,0.1625,0.9429
5,0.0711,0.9762,0.1091,0.9524
6,0.0562,0.981,0.1758,0.9397
7,0.039,0.9873,0.2046,0.9175
8,0.0481,0.9762,0.3877,0.8952
9,0.0178,0.9952,0.2523,0.927
10,0.0216,0.9921,0.128,0.9556
