epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.5474,0.781,0.4448,0.7937
2,0.248,0.9333,0.3301,0.854
3,0.1547,0.9619,0.2102,0.9429
4,0.1283,0.9667,0.2746,0.8889
5,0.1039,0.9762,0.1796,0.9365
6,0.0885,0.9794,0.1797,0.9365
7,0.0761,0.9746,0.1997,0.9333
8,0.0662,0.9873,0.2005,0.9333
9,0.0613,0.9825,0.1518,0.9429
10,0.0552,0.9841,0.1562,0.946
