epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.3095,0.8778,0.9445,0.4508
2,0.135,0.946,0.8264,0.6476
3,0.0853,0.9667,0.967,0.5937
4,0.0683,0.9762,1.489,0.4984
5,0.0473,0.9841,1.1595,0.5683
6,0.0454,0.981,1.6394,0.4889
7,0.0223,0.9921,1.9936,0.4476
8,0.0315,0.9905,1.6576,0.4667
9,0.0501,0.981,1.5676,0.5079
10,0.0336,0.9857,1.8954,0.3492
